GERÊNCIA,BACIA,RESERVATÓRIO,MUNICÍPIO,CAPACIDADE (m³),12/03/2026,13/03/2026,VOLUME ANTERIOR,VOLUME ATUAL,VARIAÇÃO_M,VARIAÇÃO_M³,SITUAÇÃO ATUAL,PERCENTUAL ATUAL,FALTA P/ SANGRAR,COTA_SANGRIA
GRCACARAU,Acaraú,Acaraú Mirim,Massapê,36715658,"113,59","113,63",28394064,28624240,"0,04",230176,28624240,"77,96%","1,37",115
GRCACARAU,Acaraú,Araras,Varjota,859533000,"149,73","149,73",579781620,579781620,0,0,579781620,"67,45%","3,27",153
GRCACARAU,Acaraú,Arrebita,Forquilha,18530000,"110,54","110,53",13149800,13116600,"-0,01",-33200,13116600,"70,79%","1,47",112
GRCACARAU,Acaraú,Ayres de Sousa,Sobral,96800000,"90,55","90,55",55130000,55130000,0,0,55130000,"56,95%","4,45",95
GRCACARAU,Acaraú,Carão,Tamboril,18862129,"93,78","93,78",12214699,12214699,0,0,12214699,"64,76%","2,22",96
GRCACARAU,Acaraú,Carmina,Catunda,13187177,"278,23","278,23",8035989,8035989,0,0,8035989,"60,94%","1,77",280
GRCACARAU,Acaraú,Edson Queiroz,Santa Quitéria,253247145,"197,37","197,37",168512502,168512502,0,0,168512502,"66,54%","3,63",201
GRCACARAU,Acaraú,Farias de Sousa,Nova Russas,12230000,"89,44","89,44",1441349,1441349,0,0,1441349,"11,79%","8,56",98
GRCACARAU,Acaraú,Forquilha,Forquilha,50130000,"110,5","110,5",36300000,36300000,0,0,36300000,"72,41%","1,5",112
GRCACARAU,Acaraú,Jatobá II,Ipueiras,6240000,"265,49","265,49",5592300,5592300,0,0,5592300,"89,62%","0,51",266
GRCACARAU,Acaraú,Jenipapo,Meruoca,4939000,"632,14","632,21",4239101,4265309,"0,07",26208,4265309,"86,36%","1,79",634
GRCACARAU,Acaraú,São Vicente,Santana do Acaraú,9840000,"100,71","100,72",7852000,7864000,"0,01",12000,7864000,"79,92%","1,28",102
GRCACARAU,Acaraú,Sobral,Sobral,4272502,"98,06","98,06",3553402,3553402,0,0,3553402,"83,17%","0,94",99
GRCACARAU,Acaraú,Taquara,Cariré,330959580,"131,03","131,04",251765685,252153501,"0,01",387816,252153501,"76,19%","1,96",133
GRCACARAU,Coreaú,Angicos,Coreaú,49045419,"104,3","104,34",38334992,38676159,"0,04",341167,38676159,"78,86%","1,16","105,5"
GRCACARAU,Coreaú,Diamante,Coreaú,13045010,"96,62","96,34",9809754,9281403,"-0,28",-528351,9281403,"71,15%","1,66",98
GRCACARAU,Coreaú,Diamantino II,Marco,18040000,"55,7","55,7",12101300,12101300,0,0,12101300,"67,08%","1,3",57
GRCACARAU,Coreaú,Gangorra,Granja,54400000,"36,89","36,96",41045000,41780000,"0,07",735000,41780000,"76,80%","1,04",38
GRCACARAU,Coreaú,Itaúna,Granja,72396177,"32,43","32,53",71150671,72625781,"0,1",1475110,72625781,"100,32%","-0,03","32,5"
GRCACARAU,Coreaú,Martinópole,Martinópole,24830000,"96,43","96,43",11030100,11030100,0,0,11030100,"44,42%","2,57",99
GRCACARAU,Coreaú,Premuoca,Uruoca,5200000,"85,42","85,42",2442800,2442800,0,0,2442800,"46,98%","2,58",88
GRCACARAU,Coreaú,Trapiá III,Coreaú,3411743,"99,37","99,38",2913410,2921151,"0,01",7741,2921151,"85,62%","0,62",100
GRCACARAU,Coreaú,Tucunduba,Senador Sá,39370585,"107,63","107,63",25837610,25837610,0,0,25837610,"65,63%","1,37",109
GRCACARAU,Coreaú,Várzea da Volta,Moraújo,12500000,"107,12","107,15",8320000,8462500,"0,03",142500,8462500,"67,70%","0,85",108
GRMETROP,Metropolitanas,Acarape do Meio,Redenção,29276260,"124,34","124,35",17377694,17396080,"0,01",18386,17396080,"59,42%","5,67","130,02"
GRMETROP,Metropolitanas,Amanary,Maranguape,9343629,"94,44","94,45",5665066,5686050,"0,01",20984,5686050,"60,85%","1,55",96
GRMETROP,Metropolitanas,Accioly,Guaiuba,885289,"73,71","73,7",260736,259801,"-0,01",-935,259801,"29,35%","4,16","77,86"
GRMETROP,Metropolitanas,Amarelas,Beberibe,47679378,"12,48","12,46",1409033,1391556,"-0,02",-17477,1391556,"2,92%","10,54",23
GRMETROP,Metropolitanas,Aracoiaba,Aracoiaba,163423760,"93,66","93,66",140456094,140456094,0,0,140456094,"85,95%","1,34",95
GRMETROP,Metropolitanas,Batente,Ocara,45430122,"68,9","68,9",16616588,16616588,0,0,16616588,"36,58%","2,96","71,86"
GRMETROP,Metropolitanas,Castro,Itapiúna,62310000,"144,74","144,74",20108720,20108720,0,0,20108720,"32,27%","6,76","151,5"
GRMETROP,Metropolitanas,Catucinzenta,Aquiraz,22780810,"43,79","43,78",17157963,17118109,"-0,01",-39854,17118109,"75,14%","1,22",45
GRMETROP,Metropolitanas,Cauhipe,Caucaia,10951259,"36,19","36,19",8609065,8609065,0,0,8609065,"78,61%","0,7","36,89"
GRMETROP,Metropolitanas,Cocó,Fortaleza,5095672,"11,6","11,55",584833,555376,"-0,05",-29457,555376,"10,90%","3,35","14,9"
GRMETROP,Metropolitanas,Gavião,Pacatuba,33448122,"35,41","35,41",29914946,29914946,0,0,29914946,"89,44%","0,59",36
GRMETROP,Metropolitanas,Germinal,Pacoti,2107201,"354,04","354,03",2113763,2112123,"-0,01",-1640,2112123,"100,23%","-0,03",354
GRMETROP,Metropolitanas,Itapebussu,Maranguape,7082804,"115,13","115,12",3907076,3891972,"-0,01",-15104,3891972,"54,95%","1,92","117,04"
GRMETROP,Metropolitanas,Macacos,Ibaretama,13195355,"117,61","117,6",8462912,8445956,"-0,01",-16956,8445956,"64,01%","2,4",120
GRMETROP,Metropolitanas,Malcozinhado,Cascavel,38094707,"22,6","22,6",28624875,28624875,0,0,28624875,"75,14%","1,4",24
GRMETROP,Metropolitanas,Maranguapinho,Maranguape,9350000,"48,62","48,59",2892320,2847740,"-0,03",-44580,2847740,"30,46%","2,91","51,5"
GRMETROP,Metropolitanas,Pacajus,Chorozinho,254953788,"34,53","34,52",134351176,134071616,"-0,01",-279560,134071616,"52,59%","3,48",38
GRMETROP,Metropolitanas,Pacoti,Horizonte,371931972,"38,22","38,21",138471619,138224976,"-0,01",-246643,138224976,"37,16%","6,79",45
GRMETROP,Metropolitanas,Penedo,Maranguape,2227790,"993,98","993,97",617005,614615,"-0,01",-2390,614615,"27,59%","4,03",998
GRMETROP,Metropolitanas,Pesqueiro,Capistrano,10539083,"194,79","194,79",7816971,7816971,0,0,7816971,"74,17%","1,86","196,65"
GRMETROP,Metropolitanas,Pompeu Sobrinho,Choró,142371245,"205,13","205,13",5727462,5727462,0,0,5727462,"4,02%","13,37","218,5"
GRMETROP,Metropolitanas,Riachão,Itaitinga,49812148,"38,16","38,16",18299177,18299177,0,0,18299177,"36,74%","6,84",45
GRMETROP,Metropolitanas,Sitios Novos,Caucaia,127948163,"43,55","43,54",94437061,94253106,"-0,01",-183955,94253106,"73,67%","1,61","45,15"
GRMETROP,Metropolitanas,Tijuquinha,Baturité,482920,"352,12","352,11",488677,487238,"-0,01",-1439,487238,"100,89%","-0,03","352,08"
GRALTJAG,Alto Jaguaribe,Arneiroz II,Arneiroz,178126000,"367,03","367,09",160136425,161239320,"0,06",1102895,161239320,"90,52%","0,91",368
GRALTJAG,Alto Jaguaribe,Benguê,Aiuaba,22293921,"447,44","447,43",18921850,18892212,"-0,01",-29638,18892212,"84,74%","1,11","448,54"
GRALTJAG,Alto Jaguaribe,Caldeirões,Saboeiro,1243681,"100,1","100,1",1302467,1302467,0,0,1302467,"104,73%","-0,1",100
GRALTJAG,Alto Jaguaribe,Canoas,Assaré,60636405,"389,76","389,84",42049824,42457860,"0,08",408036,42457860,"70,02%","3,16",393
GRALTJAG,Alto Jaguaribe,Facundo,Parambu,1750000,"92,63","92,63",179221,179221,0,0,179221,"10,24%","7,37",100
GRALTJAG,Alto Jaguaribe,Faé,Quixelô,12786740,"235,92","235,92",4066125,4066125,0,0,4066125,"31,80%","5,25","241,17"
GRALTJAG,Alto Jaguaribe,João Luís,Araripe,6584471,"91,49","91,52",1149880,1159960,"0,03",10080,1159960,"17,62%","8,48",100
GRALTJAG,Alto Jaguaribe,Mamoeiro,Antonina do Norte,18741406,"355,02","355,02",18821881,18821881,0,0,18821881,"100,43%","-0,02",355
GRALTJAG,Alto Jaguaribe,Muquém,Cariús,46550000,"267,05","267,05",46802500,46802500,0,0,46802500,"100,54%","-0,05",267
GRALTJAG,Alto Jaguaribe,Orós,Orós,1940000000,"198,59","198,62",1547541742,1553140642,"0,03",5598900,1553140642,"80,06%","0,88","199,5"
GRALTJAG,Alto Jaguaribe,Parambu,Parambu,9038330,"479,77","479,74",3213016,3187257,"-0,03",-25759,3187257,"35,26%","4,76","484,5"
GRALTJAG,Alto Jaguaribe,Pau Preto,Potengi,3311270,"997,15","997,21",2543114,2582049,"0,06",38935,2582049,"77,98%","0,88","998,09"
GRALTJAG,Alto Jaguaribe,Poço da Pedra,Campos Sales,40289631,"531,41","531,45",2430353,2468330,"0,04",37977,2468330,"6,13%","10,55",542
GRALTJAG,Alto Jaguaribe,Quincoé,Acopiara,4729384,"92,1","92,1",2147317,2147317,0,0,2147317,"45,40%","2,9",95
GRALTJAG,Alto Jaguaribe,Rivaldo de Carvalho,Catarina,20751601,"995,26","995,26",13356651,13356651,0,0,13356651,"64,36%","2,24","997,5"
GRALTJAG,Alto Jaguaribe,Trici,Tauá,8049306,"433,02","433,01",13086579,13043290,"-0,01",-43289,13043290,"162,04%","-0,01",433
GRALTJAG,Alto Jaguaribe,Trussu,Iguatu,255274173,"252,51","252,51",221703014,221703014,0,0,221703014,"86,85%","1,49",254
